Maker Wise Calendar Year Data  For All State (),,,,,,,
S No,                      Maker                       ,Calendar Year ,,,,,     TOTAL     
,,,,,,,
,,2025,2024,2023,2022,2021,
1,3EV INDUSTRIES PVT LTD,501,70,546,390,142,"1,649"
2,3GB TECHNOLOGY PVT LTD,0,0,0,0,7,7
3,3S INDUSTRIES PRIVATE LIMITED,951,"1,274",266,68,67,"2,626"
4,A1 HEAVY EQUIPMENTS DEVELOPER,16,17,25,16,7,81
5,A-1 SUREJA INDUSTRIES,2,8,1,0,0,11
6,A3T INCORPORTED,0,0,0,9,18,27
7,AADHYA ENTERPRISES,198,571,797,517,9,"2,092"
8,AADITYA EMOTORS INDIA PVT LTD,0,0,1,1,1,3
9,AADITYA GARBAGE PRODUCTS PVT LTD,6,5,34,10,0,55
10,AAHANA COMMERCE PVT LTD,"3,343","2,912",919,310,202,"7,686"
11,AAKK AUTO PVT LTD,76,60,0,0,0,136
12,AARGEE ELECTRIC,0,10,18,13,10,51
13,AARON INDUSTRIES,12,27,36,41,0,116
14,AARYA AUTOMOBILES,0,0,0,0,3,3
15,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,1,1
16,A.B. AGRO ENGINEERING WORKS,10,10,0,0,0,20
17,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,5,2,0,0,0,7
18,A B EXCAVATORS & EARTHMOVER LTD,0,0,0,0,1,1
19,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,0,1,2,0,3
20,AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,0,0,1,0,0,1
21,ABZO MOTORS PVT LTD,10,68,15,0,0,93
22,ACCPL INFRA FABTECH PVT LTD,0,1,0,0,0,1
23,ACCRETION POWER AUTOS,256,502,598,608,208,"2,172"
24,ACTION CONSTRUCTION EQUIPMENT LTD.,"7,203","10,797","8,884","7,662","6,898","41,444"
25,A D AGRO WORKS,71,105,110,125,87,498
26,ADAPT MOTORS PVT LTD,1,2,4,3,2,12
27,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,653,"2,393","2,323","1,737","2,590","9,696"
28,ADIDEV TECHNOA PVT LTD,"1,075","1,687",689,168,34,"3,653"
29,ADISHAKTI TRACTORS,0,2,40,327,186,555
30,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,1,0,1,2
31,ADISHWAR AUTO RIDE INDIA PVT LTD,101,246,383,"1,350","1,870","3,950"
32,ADITYA AGRO INDUSTRIES,10,61,63,41,61,236
33,ADITYA ENTERPRISES,0,0,2,3,5,10
34,ADITYA SAI INDUSTRIES,236,204,179,129,53,801
35,ADM TECHNOLOGIES PVT. LTD.,86,305,129,0,0,520
36,ADRIS ELECTRIC PVT LTD,1,8,61,226,65,361
37,AERODRIVE PVT LTD,160,12,0,0,0,172
38,AEROEAGLE AUTOMOBILES PVT LTD,66,37,0,0,0,103
39,AFKON AUTOMOTIVES PVT LTD,494,165,0,0,0,659
40,AFTEK MOTORS INDIA PVT LTD,5,39,138,186,8,376
41,"AFZAL ENGG WORKS,JUNAGARH",0,3,2,35,487,527
42,AGI AUTO INDUSTRIES,5,0,0,0,0,5
43,"AGNEE IRON WORKS,BARIPADA",0,0,0,1,3,4
44,AGP ENGINEERING PRODUCTS,0,1,0,1,7,9
45,AGRASEN ENGINEERING WORKS,0,0,0,1,14,15
46,AGRAWAL RENEWABLE ENERGY PVT LTD,0,4,0,1,1,6
47,AGRI KING,0,0,0,0,1,1
48,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,88,127,65,55,49,384
49,AGRO INDUSTRIES,69,125,149,259,866,"1,468"
50,AGRO TRAILERS AP312870751,3,1,0,0,0,4
51,AHITESHAM AGRO ENGINEERING,0,0,7,12,4,23
52,AHMED MOTORS,7,17,74,105,24,227
53,AJANTA KRUSHI YANTRA,29,76,95,71,87,358
54,AJAX ENGINEERING LTD,"3,489","4,514","3,553","1,852","2,041","15,449"
55,AJAX FIORI ENGINEERING PVT LTD,7,3,7,23,125,165
56,AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,1,0,0,0,0,1
57,"AJAY AGRO ENTERPRISES,SBP",0,0,7,22,76,105
58,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,6,9,0,1,0,16
59,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,4,2,9,11,46,72
60,AJAY ENTERPRISES,0,9,25,10,32,76
61,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,62,6,0,0,0,68
62,AJAY MOTORS PRIVATE LIMITED,146,195,190,34,0,565
63,A.J ENTERPRISES,129,166,0,0,0,295
64,AJIT ENGINEERING WORKS,0,1,6,0,0,7
65,AJS MOTORCYCLES LTD,0,0,2,1,0,3
66,AKAL AGRO INDUSTRY,14,40,16,4,0,74
67,AKASH AGRO INDUSTRIES,0,0,1,6,24,31
68,AKASH EQUIPMENTS & MACHINERIES (P) LTD.,1,0,0,0,0,1
69,AKASH KRISHI YANTRA,0,0,1,35,1,37
70,AKASH TRAILOR,26,27,35,56,273,417
71,A.K.AUTO ELECTRICAL,1,0,0,0,0,1
72,A K AUTTO ELECTRICAL,2,0,2,3,5,12
73,AKG INTERNATIONAL,"1,433","1,837",138,0,0,"3,408"
74,A K GUPTA & CO.,543,685,563,433,256,"2,480"
75,AKMAAN MULTI MECH MACHINES,3,2,0,1,0,6
76,A K S ENG AGRO INDUSTRIES,13,20,25,6,11,75
77,AKSHAR AGRI TECH,0,0,0,1,0,1
78,AKSHAR AGRO LNDUSTRIES,0,0,0,0,1,1
79,AKSHAR STEEL,0,0,0,8,7,15
80,AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,0,0,1,0,0,1
81,AKSHAY INDUSTRIES,0,0,0,12,3,15
82,ALBEDO VISION PVT LTD,1,6,39,14,0,60
83,ALIED E MOBILITY PVT LTD,171,71,0,0,0,242
84,ALLENTTI MOTORS PVT LTD,71,265,59,0,1,396
85,ALLFINE INDUSTRIES PVT LTD,"1,332","9,290","10,752","5,928","2,387","29,689"
86,ALL TERRAIN CRANE,"1,011","1,136","1,278",833,545,"4,803"
87,ALPHA SERVICES,7,11,28,6,13,65
88,ALTIER ELECTRIC VEHICLES PVT LTD,"1,442","2,926","2,521","1,666",385,"8,940"
89,ALTIGREEN PROPULSION LABS PVT LTD,49,"1,090","2,519",699,146,"4,503"
90,ALTIUS EV TECH PVT LTD,3,19,37,67,0,126
91,ALTIUS TECHNOLOGIES,11,11,13,9,29,73
92,ALVI AUTO,146,14,0,0,0,160
93,AMAC INNOVATIVES,0,2,0,1,4,7
94,AMAN AGRO INDUSTRIES,1,28,48,62,88,227
95,AMAN AUTOMOBILES,8,74,14,30,64,190
96,AMAN ELECTRIC VEHICLES,321,532,162,39,63,"1,117"
97,AMAN ENTERPRISES BHPATNA,65,22,0,0,0,87
98,AMAR AGRO SALES,0,0,5,7,0,12
99,AMAR ENGG. WORKS,2,7,17,1,0,27
100,AMARJEET HARVESTER INDUSTRY,14,33,25,23,23,118
101,AMBICA INDUSTRIES,0,0,0,0,4,4
102,AMBICA TROLLEY WORKS,3,0,0,0,0,3
103,AMBIKA ENTERPRISES,123,117,145,92,113,590
104,AMBIKA INDUSTRIES,959,"1,880","1,910","1,161",986,"6,896"
105,AMEEN ENGINEERING WORKS AP28884094,0,0,0,0,1,1
106,AMERICAN ROAD TECHNOLOGY & SOLUTIONS PVT LTD,0,0,0,0,2,2
107,AMIR KHAN SAIFI STEEL WORKS,89,21,0,0,0,110
108,AMMANN APOLLO INDIA PVT LTD,150,219,222,164,177,932
109,AMO MOBILITY SOLUTIONS PVT LTD,25,122,"1,574","1,496",0,"3,217"
110,AMPERE VEHICLES PRIVATE LIMITED,132,"1,089","42,916","79,859","12,470","1,36,466"
111,AMPERE VEHICLES PVT LTD,0,0,8,"2,391",315,"2,714"
112,AMRIT AGRO INDUSTRIES,0,2,1,0,0,3
113,"AMRIT ENGG WORKS,DKL",0,38,49,30,57,174
114,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,19,17,0,0,0,36
115,AMR TRAILERS,0,0,0,0,1,1
116,AMW MOTORS LIMITED,0,2,2,10,8,22
117,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,4,34,51,6,0,95
118,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),5,4,8,1,0,18
119,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,8,13,0,0,21
120,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),0,0,1,0,0,1
121,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),1,42,61,0,0,104
122,ANDHRA PRADESH SCOOTERS LTD   ,0,0,1,0,0,1
123,A N ENTERPRISES,71,0,0,0,0,71
124,ANGAD AGRO INDUSTRIES,2,4,0,0,0,6
125,ANICK TRADERS,10,0,0,0,0,10
126,ANIRUDH RAJ AGRO LTD,0,0,0,0,1,1
127,ANJALI AUTO COMPONENTS,27,60,62,21,11,181
128,ANJALI ENTERPRISES,0,0,0,0,2,2
129,ANJALI TRADERS,42,107,75,76,79,379
130,ANKIT RAJ ENGINEERIG WORKS SHOP,0,0,0,3,7,10
131,ANKUSH AUTO DEALS,0,0,5,2,111,118
132,ANNAPURNA AGRO INDUSTRIES,0,0,1,1,4,6
133,ANNAPURNA INDUSTRIES,21,84,42,83,88,318
134,ANNAPURNA TRAILER IMPLEMENTS AP312671033,10,0,0,0,0,10
135,ANOOP CYLINDERS PVT LTD,10,9,0,0,0,19
136,ANUGRAH ENGINEERING,0,0,0,1,7,8
137,"ANUP ENTERPRISES,SNG",0,4,2,9,12,27
138,ANVITA AUTO TECH WORKS PVT LTD,3,5,26,30,5,69
139,ANWAR ENGINEERING RAYAGADA,14,0,0,0,0,14
140,APARNA INDUSTRIES,114,37,87,86,97,421
141,A P I MOTORS PVT LTD,493,599,"1,134",837,253,"3,316"
142,APM AUTO SALES,645,675,778,402,221,"2,721"
143,APOLLO CARMIX EQUIPMENTS PVT LTD,101,115,81,64,72,433
144,APOLLO CONSTRUCTION EQUIPMENTS PVT LTD,0,0,1,1,5,7
145,APOLLO INFFRATECH PVT LTD,0,0,0,4,0,4
146,APSAGROINDUSTRIESDEVOLPMENTCORPORATIONLTAP67413584,1,0,0,0,0,1
147,APSARA ENTERPRISE,"1,399","1,551",725,379,418,"4,472"
148,APTEC EQUIPMENT PRIVATE LIMITED,20,10,13,7,0,50
