Maker,Year,Registrations,YoY_pct
A.R. MOTOR,2024,462,inf
A.R. MOTOR,2025,568,22.94
A.S.R BODY WORKS,2021,10,
A.S.R BODY WORKS,2022,2,-80.0
A.S.R BODY WORKS,2023,0,-100.0
A.S.R BODY WORKS,2024,0,
A.S.R BODY WORKS,2025,0,
A.V.AUTOMOTIVES PVT LTD,2021,677,
A.V.AUTOMOTIVES PVT LTD,2022,1453,114.62
A.V.AUTOMOTIVES PVT LTD,2023,1311,-9.77
A.V.AUTOMOTIVES PVT LTD,2024,1512,15.33
A.V.AUTOMOTIVES PVT LTD,2025,458,-69.71
A1 HEAVY EQUIPMENTS DEVELOPER,2021,7,
A1 HEAVY EQUIPMENTS DEVELOPER,2022,16,128.57
A1 HEAVY EQUIPMENTS DEVELOPER,2023,25,56.25
A1 HEAVY EQUIPMENTS DEVELOPER,2024,17,-32.0
A1 HEAVY EQUIPMENTS DEVELOPER,2025,16,-5.88
A3T INCORPORTED,2021,18,
A3T INCORPORTED,2022,9,-50.0
A3T INCORPORTED,2023,0,-100.0
A3T INCORPORTED,2024,0,
A3T INCORPORTED,2025,0,
AADHYA ENTERPRISES,2021,9,
AADHYA ENTERPRISES,2022,517,5644.44
AADHYA ENTERPRISES,2023,797,54.16
AADHYA ENTERPRISES,2024,571,-28.36
AADHYA ENTERPRISES,2025,198,-65.32
AADITYA EMOTORS INDIA PVT LTD,2021,1,
AADITYA EMOTORS INDIA PVT LTD,2022,1,0.0
AADITYA EMOTORS INDIA PVT LTD,2023,1,0.0
AADITYA EMOTORS INDIA PVT LTD,2024,0,-100.0
AADITYA EMOTORS INDIA PVT LTD,2025,0,
AADITYA GARBAGE PRODUCTS PVT LTD,2021,0,
AADITYA GARBAGE PRODUCTS PVT LTD,2022,10,inf
AADITYA GARBAGE PRODUCTS PVT LTD,2023,34,240.0
AADITYA GARBAGE PRODUCTS PVT LTD,2024,5,-85.29
AADITYA GARBAGE PRODUCTS PVT LTD,2025,6,20.0
AAHANA COMMERCE PVT LTD,2021,202,
