S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,3EV INDUSTRIES PVT LTD,130,71,0,0,0,232,1,67,501
2,3S INDUSTRIES PRIVATE LIMITED,155,106,105,186,142,129,107,21,951
3,A1 HEAVY EQUIPMENTS DEVELOPER,3,1,0,1,0,8,3,0,16
4,A-1 SUREJA INDUSTRIES,1,0,0,0,0,1,0,0,2
5,AADHYA ENTERPRISES,36,21,27,28,27,30,22,7,198
6,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,2,0,0,4,0,6
7,AAHANA COMMERCE PVT LTD,391,385,401,421,483,517,601,144,3343
8,AAKK AUTO PVT LTD,15,4,3,24,9,7,7,7,76
9,AARON INDUSTRIES,4,1,0,0,5,1,1,0,12
10,A.B. AGRO ENGINEERING WORKS,0,6,1,0,3,0,0,0,10
11,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,5,0,0,0,0,0,0,5
12,ABZO MOTORS PVT LTD,4,2,1,0,1,2,0,0,10
13,ACCRETION POWER AUTOS,38,25,52,43,46,20,29,3,256
14,ACTION CONSTRUCTION EQUIPMENT LTD.,1247,1019,1224,1088,845,1025,579,176,7203
15,A D AGRO WORKS,8,14,16,13,7,5,3,5,71
16,ADAPT MOTORS PVT LTD,0,0,0,1,0,0,0,0,1
17,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,259,51,45,42,73,60,68,55,653
18,ADIDEV TECHNOA PVT LTD,106,102,112,172,181,178,169,55,1075
19,ADISHWAR AUTO RIDE INDIA PVT LTD,18,9,9,7,20,12,20,6,101
20,ADITYA AGRO INDUSTRIES,3,2,3,1,1,0,0,0,10
21,ADITYA SAI INDUSTRIES,9,4,20,76,71,33,19,4,236
22,ADM TECHNOLOGIES PVT. LTD.,39,24,6,5,3,3,4,2,86
23,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,1,0,1
24,AERODRIVE PVT LTD,11,9,69,17,12,22,10,10,160
25,AEROEAGLE AUTOMOBILES PVT LTD,23,12,28,0,0,0,0,3,66
26,AFKON AUTOMOTIVES PVT LTD,44,68,45,95,94,78,61,9,494
27,AFTEK MOTORS INDIA PVT LTD,4,0,0,0,0,0,1,0,5
28,AGI AUTO INDUSTRIES,0,0,0,0,0,1,4,0,5
29,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,6,16,19,5,11,10,17,4,88
30,AGRO INDUSTRIES,14,6,7,6,17,10,7,2,69
31,AGRO TRAILERS AP312870751,0,0,0,0,0,0,3,0,3
32,AHMED MOTORS,2,3,1,0,1,0,0,0,7
33,AJANTA KRUSHI YANTRA,3,6,3,8,8,0,1,0,29
34,AJAX ENGINEERING LTD,535,469,673,457,464,658,190,43,3489
35,AJAX FIORI ENGINEERING PVT LTD,0,1,0,1,0,0,5,0,7
36,AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,0,0,0,0,0,0,1,0,1
37,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,0,2,0,2,0,1,0,6
38,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,1,0,1,0,1,1,0,0,4
39,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,3,5,9,14,29,2,0,0,62
40,AJAY MOTORS PRIVATE LIMITED,25,36,16,20,14,17,13,5,146
41,A.J ENTERPRISES,16,14,20,17,23,17,15,7,129
42,AKAL AGRO INDUSTRY,0,2,6,2,2,1,1,0,14
43,AKASH EQUIPMENTS & MACHINERIES (P) LTD.,0,0,0,1,0,0,0,0,1
44,AKASH TRAILOR,9,0,2,8,3,0,3,1,26
45,A.K.AUTO ELECTRICAL,1,0,0,0,0,0,0,0,1
46,A K AUTTO ELECTRICAL,2,0,0,0,0,0,0,0,2
47,AKG INTERNATIONAL,169,148,152,210,257,197,214,86,1433
48,A K GUPTA & CO.,87,119,96,81,42,59,26,33,543
49,AKMAAN MULTI MECH MACHINES,0,0,0,0,2,0,1,0,3
50,A K S ENG AGRO INDUSTRIES,4,1,3,3,2,0,0,0,13
51,ALBEDO VISION PVT LTD,0,0,0,1,0,0,0,0,1
52,ALIED E MOBILITY PVT LTD,15,15,6,30,42,37,19,7,171
53,ALLENTTI MOTORS PVT LTD,17,15,15,11,10,3,0,0,71
54,ALLFINE INDUSTRIES PVT LTD,202,136,190,197,130,203,220,54,1332
55,ALL TERRAIN CRANE,222,92,130,90,105,160,179,33,1011
56,ALPHA SERVICES,1,1,0,3,1,0,1,0,7
57,ALTIER ELECTRIC VEHICLES PVT LTD,218,146,194,205,230,164,225,60,1442
58,ALTIGREEN PROPULSION LABS PVT LTD,10,16,18,2,0,0,3,0,49
59,ALTIUS EV TECH PVT LTD,2,1,0,0,0,0,0,0,3
60,ALTIUS TECHNOLOGIES,2,3,1,0,1,2,2,0,11
61,ALVI AUTO,13,10,25,24,23,13,28,10,146
62,AMAN AGRO INDUSTRIES,0,0,1,0,0,0,0,0,1
63,AMAN AUTOMOBILES,0,0,3,1,1,0,1,2,8
64,AMAN ELECTRIC VEHICLES,53,33,28,46,50,55,46,10,321
65,AMAN ENTERPRISES BHPATNA,12,6,11,5,19,3,7,2,65
66,AMAR ENGG. WORKS,0,0,0,0,0,0,2,0,2
67,AMARJEET HARVESTER INDUSTRY,1,1,3,0,6,0,2,1,14
68,AMBICA TROLLEY WORKS,1,0,0,0,0,0,2,0,3
69,AMBIKA ENTERPRISES,16,10,20,8,16,15,35,3,123
70,AMBIKA INDUSTRIES,119,99,143,161,138,101,162,36,959
71,AMIR KHAN SAIFI STEEL WORKS,10,12,10,10,19,13,12,3,89
72,AMMANN APOLLO INDIA PVT LTD,28,25,25,24,17,20,7,4,150
73,AMO MOBILITY SOLUTIONS PVT LTD,1,6,3,2,10,3,0,0,25
74,AMPERE VEHICLES PRIVATE LIMITED,25,26,22,18,6,24,5,6,132
75,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2,4,3,4,2,4,0,0,19
76,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,2,1,0,0,0,0,0,4
77,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),0,0,1,2,1,1,0,0,5
78,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),1,0,0,0,0,0,0,0,1
79,A N ENTERPRISES,0,0,0,11,30,21,4,5,71
80,ANGAD AGRO INDUSTRIES,0,0,1,0,0,0,1,0,2
81,ANICK TRADERS,0,0,0,5,1,1,3,0,10
82,ANJALI AUTO COMPONENTS,4,3,5,11,2,0,2,0,27
83,ANJALI TRADERS,5,8,2,3,2,6,16,0,42
84,ANNAPURNA INDUSTRIES,9,8,1,3,0,0,0,0,21
85,ANNAPURNA TRAILER IMPLEMENTS AP312671033,0,0,0,0,2,4,4,0,10
86,ANOOP CYLINDERS PVT LTD,1,1,0,0,0,5,1,2,10
87,ANVITA AUTO TECH WORKS PVT LTD,2,0,0,0,0,0,1,0,3
88,ANWAR ENGINEERING RAYAGADA,0,0,3,6,3,2,0,0,14
89,APARNA INDUSTRIES,0,3,11,67,20,8,5,0,114
90,A P I MOTORS PVT LTD,104,91,64,54,62,59,52,7,493
91,APM AUTO SALES,58,65,74,110,118,97,81,42,645
92,APOLLO CARMIX EQUIPMENTS PVT LTD,11,11,15,5,13,39,4,3,101
93,APSAGROINDUSTRIESDEVOLPMENTCORPORATIONLTAP67413584,0,0,0,0,0,0,0,1,1
94,APSARA ENTERPRISE,176,178,212,177,208,218,155,75,1399
95,APTEC EQUIPMENT PRIVATE LIMITED,1,3,1,4,3,8,0,0,20
96,A R AGRO TECH,0,2,0,0,0,0,2,1,5
97,ARBUDA AGRO INDUSTRIES,0,0,0,0,0,0,0,1,1
98,ARCHIT ENTERPRISES,141,76,111,160,105,76,82,16,767
99,ARD EXIM,2,0,1,1,1,0,0,0,5
100,ARIHANT ENTERPRISES,0,0,0,3,1,4,0,1,9
101,ARMIX CONSTRUCTION MACHINERY PVT LTD,0,1,0,1,0,0,0,0,2
102,A.R. MOTOR,77,51,54,98,85,84,84,35,568
103,ARROW AUTOMOTIVE,215,208,248,175,279,282,287,67,1761
104,ARX MINING & CONSTRUCTION EQUIPMENT PVT LTD,0,0,0,1,0,0,0,0,1
105,ARYAN INDUSTRIES,0,1,9,12,12,2,2,1,39
106,ASAV AUTOMOTIVE PVT LTD,2,1,8,1,3,1,0,0,16
107,ASHA IMPEX,25,20,27,27,21,22,20,9,171
108,ASHLESHA POWER CONTROLS PVT LTD,1,0,0,0,0,0,0,0,1
109,ASHMA-MOTORS PVT LTD,111,66,87,104,113,152,117,52,802
110,ASHNNI MOTORS PVT LTD,0,0,0,0,1,1,0,0,2
111,ASHOKA INDUSTRIES BOLANGIR DUMERPALI,1,0,0,0,2,0,0,0,3
112,ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,0,1,0,0,0,0,1
113,ASHOK LEYLAND LTD,15975,14539,16566,15935,13828,13087,14231,4449,108610
114,ASHTVINAYAK INDUSTRIES,0,3,0,0,0,0,0,0,3
115,ASSAM FABRICATION WORKS,4,4,6,3,1,1,0,0,19
116,ASTON MARTIN LAGONDA LTD,1,3,1,0,0,0,1,0,6
117,ATHER ENERGY LTD,13097,11977,15649,13332,13045,14691,16302,4817,102910
118,ATTOLENT AUTO GROUP PVT LTD,41,33,42,195,118,44,48,8,529
119,ATUL AUTO LTD,2748,2327,2445,2018,2047,2301,2365,576,16827
120,ATUL GREENTECH PRIVATE LIMITED,152,146,221,131,128,69,75,39,961
121,ATUMOBILE PVT LTD,6,0,1,2,1,0,1,0,11
122,ATUT SANGAM,185,167,149,212,221,138,167,35,1274
123,AUDI AG,44,22,21,21,21,22,21,6,178
124,AUM ENGINEERING AND WORKS,4,3,0,0,0,0,0,0,7
125,AUTOECO GREEN ENERGY PVT LTD,60,99,76,60,67,64,84,17,527
126,AUTOEXIM HOUSE LLP,10,5,2,0,0,0,0,0,17
127,AUTOHAUS PRIVATE LIMITED,1,0,0,0,0,0,0,1,2
128,AUTOMOBILI LAMBORGHINI S.P.A,20,9,20,12,9,9,7,1,87
129,AUTONXT AUTOMATION PVT LTD,0,0,0,0,0,1,0,0,1
130,AUTO SUPREME INDUSTRIES,0,0,0,3,9,4,5,0,21
131,A.V.AUTOMOTIVES PVT LTD,37,63,100,61,61,61,69,6,458
132,AVL ELECTRIC VEHICLES PVT LTD,230,209,260,196,222,231,190,69,1607
133,AVON CYCLES LTD,32,31,41,27,33,26,25,7,222
134,AVTAR ENGINEERING WORKS,1,0,0,2,0,0,1,0,4
135,AWACHAT INDUSTRIES LTD,195,165,130,121,129,67,81,14,902
136,AYAAN ELECTRONIC PVT LTD,2,0,0,0,0,0,0,0,2
137,AZAD INDIA MOBILITY LTD,0,0,0,0,0,0,5,2,7
138,B24 ROKET EV,200,157,160,177,225,173,163,45,1300
139,BABA E-VEHICLES,29,29,44,42,23,39,20,2,228
140,BABA HARIDAS FABRICATION PAPADAHANDI NGPR,0,0,0,5,1,0,0,0,6
141,BABAJI ENGINEERING TRAILOR WORKS,0,1,0,1,0,1,1,0,4
142,BABA PRODUCT,2,3,2,8,20,8,2,1,46
143,BADSHAH ENTERPRISES,12,13,15,73,48,29,21,10,221
144,BAGHWAN RIKSHAW UDYOG,6,2,12,12,2,1,1,1,37
145,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,0,2,0,1,0,0,0,3
146,BAJAJ AUTO LTD,213909,188865,205704,216430,220074,192979,177266,45398,1460625
147,BAJAJ IMPLEMENTS PVT. LTD,48,31,47,40,41,37,62,12,318
148,BAJRANG AGRO INDUSTRIES,1,1,0,2,0,0,0,0,4
149,BAJRANG MECHANICAL WORKS,0,0,0,9,13,5,5,3,35
150,BALAJI AGRO INDUSTRIES,1,3,3,2,5,0,2,1,17
151,BALAJI ENGINEERING,0,0,0,0,0,0,1,0,1
152,BALAJI FARM & STEEL WORKS,0,0,0,0,0,0,3,1,4
153,BALAJI TRADING COMPANY,7,8,12,10,5,0,11,1,54
154,BALAN ENGINEERING PVT LTD,10,12,5,22,23,6,6,0,84
155,BAL GOPAL WHEELS PVT LTD,4,9,3,2,0,3,6,0,27
156,BALI AUTO INDUSTRIES,22,17,13,20,20,20,17,3,132
157,BALURGHAT AUTOMOBILES AND ENGINEERING,0,0,0,0,0,5,2,0,7
158,BAMUR INDUSTRIES & ENGINEERING PVT LTD,0,0,0,0,0,0,1,0,1
159,BANKU BODY BUILDER,0,0,0,0,0,1,0,0,1
160,BANKU BODY BUILDERS CHANDIKHOLE KUAKHIA,2,0,1,0,0,0,1,0,4
161,BANSAL AGRICULTURE IMPLEMENTS,0,0,0,0,0,0,1,0,1
162,BARKAT ENGINEERING WORKS,0,0,1,0,0,0,0,0,1
163,"BASUDEB ENGINEERING, CUTTACK",1,0,1,0,0,0,0,0,2
164,BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,6,1,10,1,1,1,1,2,23
165,BATTRE ELECTRIC MOBLITY PVT LTD,131,129,173,120,106,108,83,28,878
166,BAUTI ENGINEERING NAYAGARH ITAMATI,0,1,0,0,2,0,2,0,5
167,BAXY LTD,521,560,527,381,547,380,498,128,3542
168,BEAUTY ENGINEERING WORKS,0,0,0,0,1,1,2,2,6
169,BEENA DEVI & SONS INDUSTRIES PVT LTD,3,0,0,0,0,0,0,0,3
170,BEML LIMITED,2,2,1,0,3,5,0,0,13
171,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,11,13,18,16,9,20,17,3,107
172,BENTINCK INDUSTRIES PVT. LTD.,14,9,18,27,19,35,50,5,177
173,BENTLEY MOTORS LIMITED,5,4,2,2,1,5,2,0,21
174,BEST WAY AGENCIES PVT LTD,445,409,448,421,501,567,624,117,3532
175,BGAUSS AUTO PRIVATE LIMITED,1451,1219,2591,1313,1068,1955,1596,618,11811
176,BHADAURIA ENTERPRISES,1,1,0,0,3,4,1,0,10
177,BHAGWAN AGRO INDUSTRIES,3,6,12,5,4,3,3,3,39
178,BHAGYALAXMI TRAILER,0,0,0,1,0,0,0,1,2
179,BHARATHI TRAILERS,0,0,0,0,0,1,6,0,7
180,BHARATH MOTOCORP,2,11,23,1,16,5,6,10,74
181,BHARAT MECHANICAL WORKS,0,0,3,0,0,0,1,4,8
182,BHAVE ELECTRIC VEHICLES PVT LTD,149,160,108,127,128,107,126,44,949
183,BHM INDUSTRIES,269,205,199,310,232,226,213,49,1703
184,BHOGAL COMBINE SPARE PARTS,3,3,3,0,6,6,1,0,22
185,BHOLE SHANKAR MOTOR BODY,0,5,5,5,9,4,6,4,38
186,BHOOMI ENGINEERING,0,0,1,0,0,0,0,0,1
187,BHOYAR AGRO IND WARDHA,15,15,4,6,3,3,6,3,55
188,BIDISHA ENTERPRISES PVT LTD MAYURBHANJ RAIRANGPUR,2,2,5,0,1,0,0,0,10
189,BIG BULL TRADER PVT LTD,377,284,321,227,325,287,369,95,2285
190,BIJNOR ENTERPRISES,2,0,2,0,0,0,0,0,4
191,BISWAKARMA ENGINEERING,1,1,0,0,0,0,0,0,2
192,BISWAS ENGINEERING WORKS,0,1,0,0,0,0,0,0,1
193,BLACK DIAMOND MOTORS PVT LTD,0,0,0,0,5,65,13,0,83
194,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,18,10,49,32,20,47,46,0,222
195,BMR EV INDUSTRIES PVT LTD,0,1,1,0,0,1,0,1,4
196,BMW INDIA PVT LTD,2599,1692,1974,1794,1474,1628,1674,472,13307
197,BOMAG INDIA PVT LTD,0,0,1,0,0,3,0,0,4
198,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,72,85,50,63,92,56,140,31,589
199,BOSS ENTERPRISES,14,10,21,21,26,19,22,5,138
200,BOUNCE ELECTRIC 1 PVT LTD,560,383,253,64,512,257,123,3,2155
201,BRIGHT AUTOZONE PVT LTD,251,232,262,255,264,246,273,66,1849
202,BRIGHT SAFAR,1,5,2,4,44,19,17,8,100
203,BRIJESH AUTO GARAGE,0,0,0,0,1,0,0,0,1
204,BSERAIL ENGINEERING PVT LTD,10,20,15,17,18,15,15,2,112
205,BSMS AGRICULTURE WORKSHOP,0,3,5,1,0,1,0,0,10
206,BU4 AUTO PVT LTD,0,0,0,41,0,9,0,0,50
207,BUCHER MUNICIPAL (IMPORTER: BAXY LIMITED),0,0,0,1,0,0,0,0,1
208,BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),0,8,0,0,0,3,0,0,11
209,BULL MACHINES PVT LTD,206,178,246,167,131,194,110,33,1265
210,BYD INDIA PRIVATE LIMITED,338,275,452,395,529,504,471,136,3100
211,CAPCO INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,1
212,CAPTAIN TRACTORS PVT. LTD.,489,106,104,74,48,77,119,97,1114
213,CARREE YUNUS VEHICLE PVT LTD,8,12,10,26,46,28,29,4,163
214,CART INDIA,14,37,32,169,142,17,63,3,477
215,CASE EQUIPMENT PRIVATE LTD,0,0,0,0,0,1,0,0,1
216,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,228,178,243,183,178,473,35,20,1538
217,CATERPILLAR INDIA PRIVATE LIMITED,264,133,199,164,164,248,79,38,1289
218,CEEON INDIA,40,21,21,31,29,17,16,4,179
219,CELLETRON MOTOR WORKS,10,6,14,9,12,11,12,4,78
220,CG & BROTHER CO,3,1,25,11,8,15,16,2,81
221,CHAANY AGRO INDUSTRIES,0,1,1,1,3,1,0,0,7
222,CHAMPION POLY PLAST,796,665,808,732,734,641,634,165,5175
223,CHAMUNDA MECHANICLE WORKS,0,0,0,0,0,9,1,0,10
224,CHANDAKE-AUTOMOBILES LLP,22,20,18,31,22,16,15,4,148
225,CHANDANA CORPORATION,8,5,4,11,16,11,3,0,58
226,CHANNY AGRO INDUSTRIES,0,2,1,1,0,1,1,0,6
227,CHAUHAN AUTO INDUSTRIES,58,48,91,38,27,37,19,3,321
228,CHEHAK BATTERIES,24,23,19,39,42,24,23,7,201
229,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),29,19,19,18,12,18,17,1,133
230,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),4,4,2,1,1,2,4,0,18
231,CHITRA MANUFACTURERS LLP,1,2,1,1,2,7,3,0,17
232,CITADEL ENTERPRISES(OPC) PVT LTD,0,0,0,0,2,1,3,0,6
233,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,22,27,22,25,30,13,23,6,168
234,CIVIMEC ENGINEERING PVT LTD,0,1,0,0,0,2,0,0,3
235,CLAAS INDIA P LTD,0,2,2,0,0,3,1,2,10
236,CLASSIC LEGENDS PVT LTD,2838,2347,2319,2472,2008,1940,2254,711,16889
237,CLENERGY INNOVATIONS PVT LTD,0,0,0,0,1,2,0,0,3
238,C M OVERSEAS,2,3,1,5,0,4,1,2,18
239,CNH INDUSTRIAL (INDIA) PVT LTD,4019,2708,3047,2568,3060,3392,3878,1182,23854
240,COMETTO TRAILER,14,3,1,9,1,2,0,0,30
241,CONMAT HEAVY INDUSTRIES PVT LTD,27,24,20,22,17,25,5,2,142
242,CONTINENTAL ENGINES PVT LTD,10,10,7,13,9,4,3,0,56
243,CONVENIENT MACHINES PVT LTD,1,0,0,0,2,20,0,0,23
244,COVAI GREEN RIDE,1,1,3,1,1,5,0,0,12
245,CRANE KRAFT INDIA PRIVATE LIMITED,20,31,48,24,26,49,7,3,208
246,CREATIVE ENGINEERINGS,1,0,0,0,0,0,0,0,1
