S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1058,SAROOP AGRO INDUSTRIES,0,1,1,0,0,0,0,0,0,0,0,0,2
1059,SARSWATI AGRO CO.,0,0,2,1,0,1,0,0,0,0,0,0,4
1060,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,104,110,181,153,203,212,299,396,337,296,275,265,2831
1061,SATKAR ENGINEERING WORKS,0,0,0,0,1,2,0,0,0,0,0,0,3
1062,SATKARTAR AGRO WORKS,0,0,0,0,1,2,1,0,0,0,1,1,6
1063,SATNAM ENGG WORKS,2,0,5,1,0,6,0,1,1,0,0,1,17
1064,SATRAC ENGINEERING PVT LTD,39,40,61,0,50,30,45,47,34,72,10,41,469
1065,SATYANARAYANA ENGG.WORKS,2,2,2,2,2,5,3,1,0,0,2,1,22
1066,"SATYASAI INDUSTRIES,DHENKANAL",0,0,0,0,0,0,0,0,0,1,0,0,1
1067,SAURYAA SHARYO CORPORATION,0,0,3,0,0,0,0,0,0,0,0,0,3
1068,SAYA AGRO INDUSTRIES,1,2,4,0,0,0,1,0,0,1,2,1,12
1069,SBTEK E MOTO PVT LTD,1,1,7,0,3,3,1,3,0,1,2,0,22
1070,S B TRADERS,0,1,2,0,2,3,2,2,1,5,0,11,29
1071,SCA HAEVY EQUIPMENT PVT. LTD,6,1,0,0,0,1,0,1,1,0,0,0,10
1072,SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED,10,0,7,7,5,1,8,3,0,13,33,0,87
1073,SCHEUERLE FAHRZEUG FABRIK(GMBH),8,0,11,0,0,0,0,4,0,10,0,0,33
1074,SCHWING STETTER INDIA PL,2,0,2,0,0,0,0,0,0,0,0,0,4
1075,SCOOTERS INDIA LTD,0,0,0,0,0,0,1,0,0,0,0,0,1
1076,SDR AUTO PVT LTD,0,0,0,0,1,0,0,0,0,1,0,0,2
1077,SEALION AUTOMOBILE PVT LTD,2,4,2,12,2,0,5,3,4,2,0,0,36
1078,SEAMLESS AUTOTECH PVT LTD,0,0,0,2,10,10,0,0,0,0,0,0,22
1079,SEC RJMT ENGG.PVT.LTD.,1,0,0,0,0,0,0,0,0,0,0,0,1
1080,SEC-RJMT ENGINEERING PVT LTD,6,8,5,2,1,3,9,7,4,5,8,14,72
